,virus,serum,fraction infectivity,concentration,replicate
33,PV,RVC68,0.13852405151488453,200.0,5
34,PV,RVC68,0.4553666187880762,40.0,5
35,PV,RVC68,0.6622797268252938,8.0,5
36,PV,RVC68,0.8254926415968223,1.6,5
37,PV,RVC68,0.701440480068415,0.32,5
38,PV,RVC68,0.8907778075054338,0.064,5
39,PV,RVC68,0.8878679100550698,0.0128,5
40,PV,RVC68,0.013476058414574707,1000.0,6
41,PV,RVC68,0.11772798440294967,200.0,6
42,PV,RVC68,0.34912302965589653,40.0,6
43,PV,RVC68,0.5361195062550671,8.0,6
44,PV,RVC68,0.715020001503447,1.6,6
45,PV,RVC68,0.5780220295403089,0.32,6
46,PV,RVC68,0.7823226963109775,0.064,6
47,PV,RVC68,0.6778250456490162,0.0128,6
48,PV,RVC20,0.45439665297128823,100.0,7
49,PV,RVC20,0.8739521338035512,20.0,7
50,PV,RVC20,0.8848028180740197,4.0,7
51,PV,RVC20,0.7760890493284199,0.8,7
52,PV,RVC20,0.8948516639359435,0.16,7
53,PV,RVC20,0.6694833396246394,0.032,7
54,PV,RVC20,0.7447397541298315,0.0064,7
55,PV,RVC20,0.735531545309124,0.00128,7
56,PV,RVC20,0.472580278816674,100.0,8
57,PV,RVC20,0.790858395498712,20.0,8
58,PV,RVC20,0.919424131294573,4.0,8
59,PV,RVC20,0.697793408597292,0.8,8
60,PV,RVC20,0.8513195980784977,0.16,8
61,PV,RVC20,0.6995652128226247,0.032,8
62,PV,RVC20,0.6770232072404715,0.0064,8
63,PV,RVC20,0.6858434297344638,0.00128,8
64,PV,CR4098,6.466438778586711e-05,200.0,9
65,PV,CR4098,0.02192122745940895,40.0,9
66,PV,CR4098,0.3052417761044071,8.0,9
67,PV,CR4098,0.716365020769393,1.6,9
68,PV,CR4098,0.9900635085118542,0.32,9
69,PV,CR4098,0.6062027697373898,0.064,9
70,PV,CR4098,0.7254051021818573,0.0128,9
71,PV,CR4098,0.7445328280889167,0.00256,9
72,PV,CR4098,-6.466438778586711e-05,200.0,10
73,PV,CR4098,0.010436832188638952,40.0,10
74,PV,CR4098,0.32883134476869147,8.0,10
75,PV,CR4098,0.7767356932062786,1.6,10
76,PV,CR4098,0.8698524116179273,0.32,10
77,PV,CR4098,0.8315193625384653,0.064,10
78,PV,CR4098,1.0945223605411438,0.0128,10
79,PV,CR4098,0.7479471077640105,0.00256,10
